unidade;ano;mes;funcionarios
HMAL;2023;9;257
HMAL;2023;10;254
HMAL;2023;11;255
HMAL;2023;12;252
HMAL;2024;1;254
HMAL;2024;2;254
HMAL;2024;3;250
HMAL;2024;4;242
HMAL;2024;5;241
HMAL;2024;6;244
HMAL;2024;7;241
HMAL;2024;8;236
HMAL;2024;9;236
HMAL;2024;10;236
HMAL;2024;11;236
HMAL;2024;12;235
HMAL;2025;1;203
HMAL;2025;2;195
HMAL;2025;3;181
HMAL;2025;4;141
HMAL;2025;5;137
HMAL;2025;6;134
HMAL;2025;7;131
HMAL;2025;8;122
HMAL;2025;9;119
HMAL;2025;10;116
HMAL;2025;11;114
HMAL;2025;12;115
HRAD;2022;1;885
HRAD;2022;2;791
HRAD;2022;3;794
HRAD;2022;4;794
HRAD;2022;5;764
HRAD;2022;6;774
HRAD;2022;7;740
HRAD;2022;8;734
HRAD;2022;9;724
HRAD;2022;10;723
HRAD;2022;11;721
HRAD;2022;12;723
HRAD;2023;1;727
HRAD;2023;2;722
HRAD;2023;3;721
HRAD;2023;4;738
HRAD;2023;5;739
HRAD;2023;6;764
HRAD;2023;7;767
HRAD;2023;8;763
HRAD;2023;9;760
HRAD;2023;10;767
HRAD;2023;11;769
HRAD;2023;12;775
HRAD;2024;1;794
HRAD;2024;2;778
HRAD;2024;3;762
HRAD;2024;4;764
HRAD;2024;5;761
HRAD;2024;6;754
HRAD;2024;7;526
HRAD;2024;8;513
HRAD;2024;9;477
HRAD;2024;10;477
HRAD;2024;11;489
HRAD;2024;12;477
HRAD;2025;1;477
HRAD;2025;2;477
HRAD;2025;3;476
HRAD;2025;4;478
HRAD;2025;5;478
HRAD;2025;6;476
HRAD;2025;7;476
HRAD;2025;8;477
HRAD;2025;9;475
HRAD;2025;10;476
HRAD;2025;11;470
HRAD;2025;12;470
HRBJA;2022;1;632
HRBJA;2022;2;624
HRBJA;2022;3;618
HRBJA;2022;4;627
HRBJA;2022;5;629
HRBJA;2022;6;689
HRBJA;2022;7;693
HRBJA;2022;8;704
HRBJA;2022;9;758
HRBJA;2022;10;758
HRBJA;2022;11;759
HRBJA;2022;12;762
HRBJA;2023;1;773
HRBJA;2023;2;770
HRBJA;2023;3;789
HRBJA;2023;4;786
HRBJA;2023;5;780
HRBJA;2023;6;808
HRBJA;2023;7;796
HRBJA;2023;8;783
HRBJA;2023;9;797
HRBJA;2023;10;784
HRBJA;2023;11;777
HRBJA;2023;12;778
HRBJA;2024;1;793
HRBJA;2024;2;790
HRBJA;2024;3;766
HRBJA;2024;4;766
HRBJA;2024;5;779
HRBJA;2024;6;774
HRBJA;2024;7;774
HRBJA;2024;8;772
HRBJA;2024;9;793
HRBJA;2024;10;788
HRBJA;2024;11;794
HRBJA;2024;12;792
HRBJA;2025;1;798
HRBJA;2025;2;814
HRBJA;2025;3;821
HRBJA;2025;4;829
HRBJA;2025;5;829
HRBJA;2025;6;862
HRBJA;2025;7;853
HRBJA;2025;8;844
HRBJA;2025;9;843
HRBJA;2025;10;844
HRBJA;2025;11;843
HRBJA;2025;12;848
HRJP;2022;1;975
HRJP;2022;2;969
HRJP;2022;3;969
HRJP;2022;4;963
HRJP;2022;5;945
HRJP;2022;6;943
HRJP;2022;7;980
HRJP;2022;8;976
HRJP;2022;9;987
HRJP;2022;10;983
HRJP;2022;11;985
HRJP;2022;12;984
HRJP;2023;1;997
HRJP;2023;2;984
HRJP;2023;3;991
HRJP;2023;4;996
HRJP;2023;5;992
HRJP;2023;6;1000
HRJP;2023;7;1003
HRJP;2023;8;1002
HRJP;2023;9;996
HRJP;2023;10;1002
HRJP;2023;11;1004
HRJP;2023;12;999
HRJP;2024;1;1007
HRJP;2024;2;1004
HRJP;2024;3;1009
HRJP;2024;4;1005
HRJP;2024;5;997
HRJP;2024;6;1001
HRJP;2024;7;1017
HRJP;2024;8;1007
HRJP;2024;9;1002
HRJP;2024;10;1002
HRJP;2024;11;1000
HRJP;2024;12;993
HRJP;2025;1;997
HRJP;2025;2;998
HRJP;2025;3;990
HRJP;2025;4;976
HRJP;2025;5;987
HRJP;2025;6;997
HRJP;2025;7;990
HRJP;2025;8;976
HRJP;2025;9;966
HRJP;2025;10;955
HRJP;2025;11;957
HRJP;2025;12;951
IRS;2022;1;370
IRS;2022;2;367
IRS;2022;3;366
IRS;2022;4;362
IRS;2022;5;364
IRS;2022;6;363
IRS;2022;7;360
IRS;2022;8;355
IRS;2022;9;352
IRS;2022;10;349
IRS;2022;11;350
IRS;2022;12;348
IRS;2023;1;351
IRS;2023;2;349
IRS;2023;3;348
IRS;2023;4;348
IRS;2023;5;349
IRS;2023;6;348
IRS;2023;7;345
IRS;2023;8;342
IRS;2023;9;343
IRS;2023;10;343
IRS;2023;11;342
IRS;2023;12;340
IRS;2024;1;341
IRS;2024;2;351
IRS;2024;3;348
IRS;2024;4;351
IRS;2024;5;345
IRS;2024;6;347
IRS;2024;7;352
IRS;2024;8;352
IRS;2024;9;353
IRS;2024;10;351
IRS;2024;11;346
IRS;2024;12;347
IRS;2025;1;349
IRS;2025;2;343
IRS;2025;3;341
IRS;2025;4;336
IRS;2025;5;340
IRS;2025;6;343
IRS;2025;7;342
IRS;2025;8;335
IRS;2025;9;339
IRS;2025;10;335
IRS;2025;11;330
IRS;2025;12;332
MOV;2022;1;945
MOV;2022;2;940
MOV;2022;3;944
MOV;2022;4;947
MOV;2022;5;947
MOV;2022;6;947
MOV;2022;7;961
MOV;2022;8;951
MOV;2022;9;949
MOV;2022;10;946
MOV;2022;11;945
